Company name,Most recent reporting year,Financial year end,Y0-Revenue / Turnover (million),Y0-Currency," Y0-CO2 Scope 1 
(tCO2e)  "," Y0-CO2 Scope 2 - market based
(tCO2e)  "," Y0-CO2 Scope 3
(tCO2e) ", Y0-Scope 3 reporting categories - (0-15) ,Y0-1-Revenue / Turnover (million)," Y0-1-CO2 Scope 1 
(tCO2e)  "," Y0-1-CO2 Scope 2 - market based
(tCO2e)  "," Y0-1-CO2 Scope 3
(tCO2e) ",Y0-2-Revenue / Turnover (million)," Y0-2-CO2 Scope 1 
(tCO2e)  "," Y0-2-CO2 Scope 2 - market based
(tCO2e)  "," Y0-2-CO2 Scope 3
(tCO2e) "
sample-1.pdf,2024,31-Dec,"105,280",HKD,"146,391,900","54,813",,0,"103,330","139,392,600","50,774",,"103,310","152,569,700","44,986",
sample-2.pdf,2024,31-Dec,,,117,"12,259",874,1,,137.84,"13,565",578,,101,"14,993",78
sample-3.pdf,2024,31-Dec,,,"58,326,629","8,057,736",,,,"48,911,825","5,564,027",,,,,
